COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000003,7,25/01/2015 19,25/01/2015 20,3,ug/m3
2000003,7,25/01/2015 20,25/01/2015 21,4,ug/m3
2000003,7,25/01/2015 21,25/01/2015 22,4,ug/m3
2000003,7,25/01/2015 22,25/01/2015 23,4,ug/m3
2000003,7,25/01/2015 23,26/01/2015 00,3,ug/m3
2000003,7,26/01/2015 00,26/01/2015 01,8,ug/m3
2000003,7,26/01/2015 01,26/01/2015 02,9,ug/m3
2000003,7,26/01/2015 03,26/01/2015 04,12,ug/m3
2000003,7,26/01/2015 04,26/01/2015 05,10,ug/m3
2000003,7,26/01/2015 05,26/01/2015 06,3,ug/m3
2000003,7,26/01/2015 06,26/01/2015 07,3,ug/m3
2000003,7,26/01/2015 07,26/01/2015 08,3,ug/m3
2000003,7,26/01/2015 08,26/01/2015 09,4,ug/m3
2000003,7,26/01/2015 09,26/01/2015 10,10,ug/m3
2000003,7,26/01/2015 10,26/01/2015 11,17,ug/m3
2000003,7,26/01/2015 11,26/01/2015 12,27,ug/m3
2000003,7,26/01/2015 12,26/01/2015 13,37,ug/m3
2000003,7,26/01/2015 13,26/01/2015 14,41,ug/m3
2000003,7,26/01/2015 14,26/01/2015 15,45,ug/m3
2000003,7,26/01/2015 15,26/01/2015 16,45,ug/m3
2000003,7,26/01/2015 16,26/01/2015 17,40,ug/m3
2000003,7,26/01/2015 17,26/01/2015 18,13,ug/m3
2000003,7,26/01/2015 18,26/01/2015 19,3,ug/m3
2000003,7,26/01/2015 19,26/01/2015 20,3,ug/m3
2000003,7,26/01/2015 20,26/01/2015 21,3,ug/m3
2000003,7,26/01/2015 21,26/01/2015 22,4,ug/m3
2000003,7,26/01/2015 22,26/01/2015 23,10,ug/m3
2000003,7,26/01/2015 23,27/01/2015 00,18,ug/m3
2000003,7,27/01/2015 00,27/01/2015 01,27,ug/m3
