refdate,pm10
2012-05-30,30.0000000
2012-05-31,34.0000000
2012-06-01,25.0000000
2012-06-02,29.0000000
2012-06-03,19.0000000
2012-06-04,20.0000000
2012-06-05,20.0000000
2012-06-06,21.0000000
2012-06-07,26.0000000
2012-06-08,42.0000000
2012-06-09,40.0000000
2012-06-10,18.0000000
2012-06-11,14.0000000
2012-06-12,15.0000000
2012-06-13,24.0000000
2012-06-14,29.0000000
2012-06-15,32.0000000
2012-06-16,34.0000000
2012-06-17,26.0000000
2012-06-18,34.0000000
2012-06-19,35.0000000
2012-06-20,42.0000000
2012-06-21,41.0000000
2012-06-22,36.0000000
2012-06-23,42.0000000
2012-06-24,30.0000000
2012-06-25,29.0000000
2012-06-27,27.0000000
2012-06-28,27.0000000
2012-06-29,29.0000000
2012-06-30,34.0000000
2012-07-01,45.0000000
2012-07-02,50.0000000
2012-07-03,28.0000000
2012-07-04,30.0000000
2012-07-05,28.0000000
2012-07-06,35.0000000
2012-07-07,24.0000000
2012-07-08,16.0000000
2012-07-09,26.0000000
2012-07-10,29.0000000
2012-07-11,25.0000000
2012-07-12,29.0000000
2012-07-13,25.0000000
2012-07-14,24.0000000
2012-07-15,24.0000000
2012-07-16,19.0000000
2012-07-17,29.0000000
2012-07-18,32.0000000
2012-07-19,18.0000000
2012-07-20,23.0000000
2012-07-21,23.0000000
2012-07-22,16.0000000
2012-07-23,24.0000000
2012-07-24,33.0000000
2012-07-25,38.0000000
2012-07-26,38.0000000
2012-07-27,38.0000000
2012-07-28,32.0000000
2012-07-29,29.0000000
2012-07-30,34.0000000
2012-07-31,28.0000000
2012-08-01,29.0000000
2012-08-02,28.0000000
2012-08-03,30.0000000
2012-08-04,31.0000000
2012-08-05,29.0000000
2012-08-06,39.0000000
2012-08-07,26.0000000
2012-08-08,27.0000000
2012-08-09,33.0000000
2012-08-10,19.0000000
2012-08-11,21.0000000
2012-08-12,21.0000000
2012-08-13,19.0000000
2012-08-14,23.0000000
2012-08-15,24.0000000
2012-08-16,31.0000000
2012-08-17,32.0000000
2012-08-18,32.0000000
2012-08-19,30.0000000
2012-08-20,32.0000000
2012-08-23,39.0000000
